phone_id,number,format_variants,registered_person_id,sim_status,carrier
PH-000001,+918272845084,8272845084;+91-8272845084;+91 82728 45084,P-000001,active,BSNL
PH-000296,+917653369774,7653369774;+91-7653369774;+91 76533 69774,P-000049,active,Jio
PH-000297,+919316465528,9316465528;+91-9316465528;+91 93164 65528,P-000050,active,BSNL
PH-000298,+917058450204,7058450204;+91-7058450204;+91 70584 50204,P-000051,active,BSNL
PH-000299,+918050571297,8050571297;+91-8050571297;+91 80505 71297,P-000052,active,Jio
PH-000300,+919757977593,9757977593;+91-9757977593;+91 97579 77593,P-000053,active,BSNL
PH-000301,+919016569908,9016569908;+91-9016569908;+91 90165 69908,P-000054,active,Vi
PH-000302,+916935607691,6935607691;+91-6935607691;+91 69356 07691,P-000055,active,Jio
PH-000303,+917397785776,7397785776;+91-7397785776;+91 73977 85776,P-000056,active,BSNL
PH-000304,+917230699954,7230699954;+91-7230699954;+91 72306 99954,P-000057,active,Jio
PH-000305,+918791430408,8791430408;+91-8791430408;+91 87914 30408,P-000058,active,Airtel
PH-000306,+917676673564,7676673564;+91-7676673564;+91 76766 73564,P-000059,active,Vi
PH-000307,+918263021888,8263021888;+91-8263021888;+91 82630 21888,P-000060,active,Vi
PH-000308,+917673418872,7673418872;+91-7673418872;+91 76734 18872,P-000061,active,Airtel
PH-000309,+918942080549,8942080549;+91-8942080549;+91 89420 80549,P-000062,active,Vi
PH-000310,+917630918968,7630918968;+91-7630918968;+91 76309 18968,P-000063,active,BSNL
PH-000311,+916869965369,6869965369;+91-6869965369;+91 68699 65369,P-000064,active,Jio
PH-000312,+916926927343,6926927343;+91-6926927343;+91 69269 27343,P-000065,active,Vi
PH-000313,+916014458274,6014458274;+91-6014458274;+91 60144 58274,P-000066,active,Airtel
PH-000314,+918155824069,8155824069;+91-8155824069;+91 81558 24069,P-000067,active,BSNL
PH-000315,+916205514212,6205514212;+91-6205514212;+91 62055 14212,P-000068,active,BSNL
PH-000316,+919015079588,9015079588;+91-9015079588;+91 90150 79588,P-000069,active,BSNL
PH-000317,+919469855566,9469855566;+91-9469855566;+91 94698 55566,P-000070,active,Jio
PH-000318,+916537341993,6537341993;+91-6537341993;+91 65373 41993,P-000071,active,Airtel
PH-000319,+919333738454,9333738454;+91-9333738454;+91 93337 38454,P-000072,active,BSNL
PH-000320,+919377168348,9377168348;+91-9377168348;+91 93771 68348,P-000073,active,BSNL
PH-000321,+916386747449,6386747449;+91-6386747449;+91 63867 47449,P-000074,active,Airtel
PH-000322,+917751811917,7751811917;+91-7751811917;+91 77518 11917,P-000075,active,BSNL
PH-000323,+919195389171,9195389171;+91-9195389171;+91 91953 89171,P-000076,active,Vi
PH-000324,+919808903372,9808903372;+91-9808903372;+91 98089 03372,P-000077,active,Airtel
PH-000325,+916891399015,6891399015;+91-6891399015;+91 68913 99015,P-000078,active,Jio
PH-000326,+919301228575,9301228575;+91-9301228575;+91 93012 28575,P-000079,active,BSNL
PH-000327,+916845100262,6845100262;+91-6845100262;+91 68451 00262,P-000080,active,BSNL
PH-000328,+917185911272,7185911272;+91-7185911272;+91 71859 11272,P-000081,active,Airtel
PH-000329,+918608726041,8608726041;+91-8608726041;+91 86087 26041,P-000082,active,Airtel
PH-000330,+918382243531,8382243531;+91-8382243531;+91 83822 43531,P-000083,active,BSNL
PH-000331,+916544268490,6544268490;+91-6544268490;+91 65442 68490,P-000084,active,Vi
PH-000332,+916290456158,6290456158;+91-6290456158;+91 62904 56158,P-000085,active,Vi
PH-000333,+916681706231,6681706231;+91-6681706231;+91 66817 06231,P-000086,active,BSNL
PH-000334,+916481566360,6481566360;+91-6481566360;+91 64815 66360,P-000087,active,Jio
PH-000335,+919985950040,9985950040;+91-9985950040;+91 99859 50040,P-000088,active,Jio
PH-000336,+918281521494,8281521494;+91-8281521494;+91 82815 21494,P-000338,active,BSNL
PH-000337,+919987047943,9987047943;+91-9987047943;+91 99870 47943,P-000339,active,Airtel
PH-000338,+917061252606,7061252606;+91-7061252606;+91 70612 52606,P-000340,active,Airtel
PH-000339,+919881919015,9881919015;+91-9881919015;+91 98819 19015,P-000341,active,Jio
PH-000340,+919122478618,9122478618;+91-9122478618;+91 91224 78618,P-000342,active,Vi
PH-000341,+919251272878,9251272878;+91-9251272878;+91 92512 72878,P-000343,active,Airtel
PH-000342,+918036128338,8036128338;+91-8036128338;+91 80361 28338,P-000344,active,BSNL
PH-000343,+917976935609,7976935609;+91-7976935609;+91 79769 35609,P-000345,active,BSNL
PH-000344,+919019746770,9019746770;+91-9019746770;+91 90197 46770,P-000346,active,BSNL
PH-000345,+916653521455,6653521455;+91-6653521455;+91 66535 21455,P-000347,active,Jio
PH-000346,+918909272609,8909272609;+91-8909272609;+91 89092 72609,P-000348,active,Airtel
